,Sentence,Sentiment
647,also westpac issu benchmark 18 month frn deal euro,neutral
648,last smartphon run maemo 5 replac meego joint project nokia intel open sourc commun,neutral
649,pretti steadi accumul support today purdi agu,positive
650,serv custom local one cornerston custom focu us,neutral
651,cut frequenc new york last year explain fall said,negative
652,hsc receiv 7year 50m contract new saudi arabian steel mill,positive
653,oper result includ nonrecur item rose eur 146mn loss eur 267mn 2009,positive
654,oper profit net sale threemonth period increas respect eur15 1 eur131 5 compar correspond period 2005,positive
655,around 250 reduct implement pension arrang,neutral
656,sainsburi say outperform rival tough market,positive
657,finnish outokumpu technolog award sever new grind technolog contract,positive
658,starbuck digit strategi drive signific growth custom loyalti sbux,positive
659,margin call zanadvorov given chanc make purchas credit deutsch bank usd 560 million,neutral
660,soapston deposit medvezhyegorsk area expect increas tulikivi current reserv consider,positive
661,answer question mani visitor convers get big team problem set social media channel,neutral
662,hargreav lansdown share price fall cost mount although pension,negative
663,press serco set appoint roy gardner excentrica chairman ft,positive
664,intercontinent hotel deni report starwood merger talk,neutral
665,commenc construct work pearl plaza signific step russian project,positive
666,acquisit wireless modem unit approxim 1100 employe transfer renesa electron corpor,neutral
667,announc invest carmak hyundai exampl sound optimist us cours new car mean new tire,positive
668,accord acnielsen scantrack studi period week 10 2005 week 9 2006 cocacola market leader soft drink finland,positive
669,ymi long setup close 20ma macd cross novemb catalyst,positive
670,updat 3bp settl oil spillrel claim halliburton transocean,negative
671,contract award date connect system amount total eur 36 million,neutral
672,expenditur must justifi pass budget approv hurdl believ rop model help make easier secur practition make busi case acquir enabl secur technolog relat control activ,neutral
673,cocacola compani cocacola femsa acquir ade soybas beverag busi unilev,positive
674,honor acknowledg commit industri especi asia pacif,positive
675,invent releas patent offic said chamber pressur,neutral
676,baltic countri sale fell 426,neutral
677,howev sale volum food industri expect remain rel good level finland scandinavia atria said,positive
678,mill raw materi need increas 100000 m3 wood,neutral
679,outotec headquart espoo finland lead provid process solut technolog servic mine metallurg industri,neutral
680,one dark spot horizon howev compani perform finnish bottl water market,neutral
681,current hold via option long aapl v gs aet short vxx,positive
682,process technolog project manag basic engin qualiti assur within forest industri consolid vantaa southern finland,neutral
683,pcln run 50sma acquisit news,positive
684,vaahto pulp paper finnish vaahto group award order renov finnishswedish forest industri compani stora enso paperboard machin ingeroi board mill finland,positive
685,nokia 012 pct 1670 eur kick morn neg territori,positive
686,tza rocket ship,positive
687,finnish solut provid affecto oyj said today frame contract valu eur2m implement next phase insur applic south african mutual feder insur compani limit mf,positive
688,industri invest interest glaston solar energi project,positive
689,winner present win,neutral
690,scanfil execut temporari layoff midoctob 2009 job cut march 2010,negative
691,furthermor fulli electr driven crane environment friendli,positive
692,finnishswedish tietoen expand busi quickli russia,positive
693,estim consolid turnov kausta guder reach lt 53mn us 2253 mn eur 1535 mn 2007,neutral
694,ad bbbi jimcram wrong one still profit merchant profit store,positive
695,rinkuskiai beer sale fell 65 per cent 416 million litr kauno alu beer sale jump 69 per cent 248 million litr,neutral
696,internet busi news :registered: 19952006 m2 commun ltd part drive protect user internet bank servic barclay bank announc recommend fsecur internet secur custom,neutral
697,halonen offic acknowledg receiv letter declin comment,neutral
698,boomerang boat oy specialis boat build design manufactur sell customis rigid inflat boat rib primarili baltic sea market,neutral
699,fair valu compani invest properti grew eur 2803 billion end march 2009 eur 2691 million year ago,positive
700,reach agreement union flight continu normal finnair spokesman usko maatta said,positive
701,osur 33 sinc 625 buy signal resist 533 expect 1 pullback 2nd half day 2 break abov 533 continu ralli 45 day,positive
702,compani net sale eur 108 million 2008 today approxim 120 employe finland estonia poland,neutral
703,broker highlight cargotec prefer stock sector pure play global cargo contain handl expect play activ role consolid industri,positive
704,combin capit fund expect eur 100mn150mn,neutral
705,total headcount reduct 50 person compani said,negative
706,aim develop opensourc applic solut,neutral
707,net sale whole fiscal year 2008 lower 2007 oper profit estim neg,negative
708,contract consist new build area 18000 sq renov exist build,neutral
709,retail kingfish sport direct rise britain share index,positive
710,persimmon share price climb 23 rise fullyear revenu,positive
711,check make bid deka showroom fortitud valley,neutral
712,new facil known technopoli pulkovo introduc russian market entir new concept creat oper grow commerciallyfund scienc technolog park support growth knowledgeintens compani,neutral
713,tesco sale pickup isnt enough,negative
714,trip maintain neutral rate jp morgan pt cut 61 66,neutral
715,poorest index figur given finnish power compani fortum 45,negative
716,extract filtrat high clariti dri filter cake meet requir transport moistur limit tmlsfor ore grade,neutral
717,order includ wartsila order book second quarter compani ad,neutral
718,compani also said deploy danish 4g network continu expect cover 75 danish popul 2011,neutral
719,dispos autotank also strengthen aspo capit structur comment gustav nyberg ceo aspo,positive
720,micron technolog inc nasdaq mu 23 today 89 sinc put short,negative
721,finnish laboratori liquid handl diagnost test system develop biohit oyj omx helsinki biobv issu tuesday 3 june profit warn financi year 2008,neutral
722,pleas receiv nomin committe request confid say jon risfelt,positive
723,aapl stock climb barron see 40 upsid jim cramer take,positive
724,compani also said novemb 16 2006 real estat fund ky sign agreement finnish window maker fenestra oy build window plant forssa southern finland,positive
725,third quarter net sale increas 12 yearonyear eur 1595 million 6 compar currenc rate growth,positive
726,itv pursu takeov canada entertain one bloomberg,positive
727,cramo servic compani specialis construct machineri equip rental rentalrel servic well rental sale modular space,neutral
728,depend market situat project sold 1 3 year complet,neutral
729,astrazeneca weigh acerta bid secur blood cancer drug,positive
730,hrl readi pop,positive
731,news feedfts 100 mover lse surg ice say mull offer ashtead barclay tank,positive
732,elcoteq se europ largest contract electron maker set unit bangalor associ avista advisori mumbai,neutral
733,sale vat inclus expand 19 percent 351 million euro,positive
734,oper profit increas 1451 eur 83 mn eur 34 mn,positive
735,alexandria va dec 19 unit state patent 7853620 issu dec 14 assign nokia corp espoo finland,neutral
736,countri germani sector constructionr estat machineryengin target caverion gmbh buyer yit oyj deal size usd 903 type corpor acquisit statu agre,neutral
737,amrn accumul think buy hold peac go todaytomorrow,positive
738,oper profit rose eur 311 mn eur 122 mn correspond period 2009,positive
739,last year sysopen digia invest ibm product knowhow build portal trade place system success implement custom solut support,positive
740,adp news feb 4 2009 finnish broadband data commun system solut compani telest oyj hel tlt1v said today net profit decreas eur 55 million usd 72 2008 eur 94 million 200,neutral
741,earnout payment 40 mln euro 53 mln also paid depend intellibi financi perform 2007,neutral
742,currenc effect 30 pct 20 mln euro 313 mln neg impact revenu,negative
743,lñnnen tehtaat show loss recent start streamlin measur,neutral
744,1830 dinner confer program also view live audio webcast internet page,neutral
745,oper profit margin increas 112 117,positive
746,oper profit total eur 122 mn eur 356 mn first quarter 2008,negative
747,found 1985 quatrocon clientel consist public sector builder central trade compani major construct firm,neutral
748,russ dont catch fall knive think entri come soon,positive
749,compani profit tax fell eur 211 mn third quarter 2008 compar eur 358 mn correspond period 2007,neutral
750,russian offici inspect damag gave vessel permiss continu tallinn around 430 norwegianregist mt sten nordic carri 11000 ton ga oil man filipino crew,neutral
751,maritim administr said ship ignor warn ici condit,neutral
752,wfm bought littl yesterday hope earn pop,positive
753,german compani also sign code share agreement anoth oneworld member american airlin inc part usbas amr corp nyse amr,positive
754,odel contact state finland issu,neutral
755,boreali infrastructur put togeth new severn trent bid,positive
756,order deliv bring total output electr itali gener wartsila equip 1300 mw,neutral
757,cooper sh uk distributor lift equip manufactur konecran fiveyear deal involv low mainten fuel save technolog,positive
758,preliminari estim technolog park measur 50000 squar meter,neutral
759,compani plan spend proce right offer strengthen balanc sheet,neutral
760,earn per share ep first half 2007 amount eur0 29 eur0 40 year ago,neutral
761,rxii tang realli toxic keep bring share price least could let climb littl drag,negative
762,sell consortium includ fund manag oko bank ventur capit unit bio fund manag finnish industri invest governmentown invest group,neutral
763,amer sport divest industri site rumilli franc announc distribut thomson reuter behalf thomson reuter client,neutral
764,metsabotnia financ payment dividend repay capit repurchas share fund deriv divest uruguay oper share pohjolan voima utilis exist financ facil,neutral
765,rt fitzstock2004 iyt transport alway lead way broke dt line 1st macd cross bull flag,positive
766,ebit exclud nonrecur item total eur 678 mn eur 381 mn,positive
767,diesel margin remain high,positive
768,oper loss total eur 03 mn compar profit eur 22 mn correspond period 2007,negative
769,ftse ralli threemonth low boost stanchart sainsburi,positive
770,growth activ talentum custom start end 2009 continu report period compani state,positive
771,maximum number new share offer 22 million,neutral
772,marimekko make sort color littl impuls buy umbrella babi bib chang purs sale better take advantag shopper ca nt commit furnitur want piec action,neutral
773,finnish manag softwar solut provid ixono oyj net profit decreas 369000 euro 575000 first quarter 2008 669000 euro 10 mln period 2007,neutral
774,sale result gain eur 60 million second quarter 2010 oriolakd support finnish compani strategi focu pharmaceut wholesal retail oper,positive
775,guidanc set 90 basi point midswap report said,neutral
776,finnish drug distributor wholesal oriolakd oyj said octob 11 2006 name ann kariniemi vice presid logist sourc depart januari 15 2007,neutral
777,bad idea make 5 min predict base faith rt dandyduct aapl sell signal hit 584 go next 5 min,negative
778,contract compris turnkey order roro system two rorocruis vessel construct vike line tallink,neutral
779,endp exit revers 11 x 3k share 330 long get follow either side price action,positive
780,itv share price jump report comcast nbcunivers bid takeov,positive
781,aspo plc stock exchang announc may 4 2006 1000 increas share capit aspo plc total eur 112560 regist today,positive
782,fouryear contract bank ski sport finland bring bank advertis skier helmet cap,neutral
783,accord finnish scanfil founder chairman board jorma j takanen compani look growth abroad,neutral
784,new type network element ad network convers file updat ad inform requir convert messag format new network element type format understood manag system,neutral
785,video marimekko design manag noora niiininoski explain brand natur fit timeless style,neutral
786,made longterm invest develop system implement model,neutral
787,comptel vendor dynam oper support system oss softwar select orascom telecom oth partner provis activ solut mobil servic,positive
788,aapl big seem fall toward 530,negative
789,ntsb said investig set conduct sight distanc test juli 18 use train similar involv accid,neutral
790,finnish sport equip maker amer sport oyj hel amea said today net loss narrow eur 169 million usd 223 second quarter 2010 eur 232 million correspond period year earlier,positive
791,return invest 50 compar neg 41 2009,positive
792,outotec scope deliveri includ design basic engin suppli proprietari equip sinter plant grate area 496 squar meter,neutral
793,contract take effect 2009 five ten year period,neutral
794,simultan respons area extend legal affair cover also merger acquisit,neutral
795,peer peugeot fell 081 pct sale rose 63 pct period last year,neutral
796,three student univers sain malaysia studi trip helsinki,neutral
797,finnish properti invest compani citycon expand refurbish àkersberga shop center stockholm sweden,neutral
798,5 best analyst rate stock last 72hr orcl aapl cb ino cpxx view rate,positive
799,updat persimmon profit strongli outlook posit,positive
800,total two offer receiv contract author particip contract howev contract allot affecto finland oy,neutral
801,cant understand theyr say impress watch hit ball speed,neutral
802,rptold mutual q1 gross sale beat forecast 18 pct,positive
803,bank also examin benefit transfer swedish busi oper branch offic oper would govern finland law,neutral
804,motorola inc unit state came second shipment 2174 million unit 213 percent market share follow south korea samsung electron co shipment 1180 million unit 116 percent share,neutral
805,maximum amount capit loan eur30m minimum subscript eur10 000,neutral
806,adpnew feb 3 2010 finlandbas steel maker rautaruukki oyj hel rtrk ruukki said today slip largerthanexpect pretax loss eur 46 million usd 645 fourth quarter 2009,neutral
807,sharkbiotech anyon sellingshort agn bc believ endp rumor realist ill take side trade,positive
808,compani list nordic exchang helsinki,neutral
809,pypl great vol flow trade love compani long tear eye,positive
810,v potenti bearish shark pattern point b 226 taken,negative
811,oper profit turnov ninemonth period increas respect eur2 4 eur43 8 compar correspond period year ago,positive
812,order compris four ball mill organ two differ stream treat ore pilanesberg platinum mine,neutral
813,alma media corpor press releas march 25 2010 tyrvään sanomat purchas confirm busi oper tyrvññn sanomat oy transfer suomen paikallissanomat oy,neutral
814,product situat improv,positive
815,ssh commun secur corpor headquart helsinki finland,neutral
816,full 2010 compani expect net sale oper result improv previou year say posit oper result amount depend order intak end summer,positive
817,oper margin howev slip 144 151 drag poor perform enterpris solut,neutral
818,finnish metal product compani componenta oyj net profit rose 261 mln euro 359 mln first quarter 2007 53 mln euro 73 mln period 2006,positive
819,today close 81514 im long tsla amtd twtr fb aapl celg longerterm technic swing long basi,positive
820,acquir busi main asset mobil authent sign solut brand tectia mobileid provid authent web email sslvpn ms sharepoint tectia secur solut applic resourc,neutral
821,report examin medic equip busi structur oper histori product provid analysi key medic equip revenu line,neutral
822,adpnew aug 3 2009 finnish media group ilkkayhtyma oyj hel ilk2 said today net profit fell 45 year eur 59 million usd 84 first half 2009,neutral
823,new technolog improv glass qualiti consist increas throughput,positive
824,london marketwatch nokia nok said fiveyear servic contract run hutchison essar network oper nine locat india,positive
825,soullor regular scrappi q swi usual present sale weak margin debt still way,negative
826,oper profit margin 83 compar 118 year earlier,negative
827,consolid net sale increas 16 reach eur74 8 oper profit amount eur0 9 compar loss eur0 7 prior year period,positive
828,finnish forest machineri manufactur ponss issu profit warn,neutral
829,enterpris valu fray bento pulp mill forest orient total approxim euro1 6 billion upm said,neutral
830,rental build equip account 88 percent oper incom,neutral
831,measur result weak demand shipbuild industri,negative
832,may 29 2010 companiesandmarketscom deliv newstex report provid key data inform meat fish poultri market finland,neutral
833,addit demand finland export line stone product also increas,positive
834,current refer grade instrument challeng oper due high price complex routin use,negative
835,alreadi alloc money inventori,neutral
836,total 131000 talvivaara mine compani plc new share subscrib period may 1 2010 june 30 2010 compani stock option right 2007a,neutral
837,eurusd find support near 110 level ero uup udn fxe,positive
838,annual valu contract estim usd 2mn next three year,neutral
839,addit launch versatil onlin servic complet tradit print newspap mr valkama say,neutral
840,compani said oper sold newli establish compani cp gmbh present manag plastic busi coowner,neutral
841,finnish metal product compani componenta oyj net profit went slightli 251 mln euro 402 mln first half 2008 254 mln euro 407 mln period 2007,neutral
842,marketsbp promot upstream boss deputi ceo,neutral
843,britain ftse bounc back mondi barratt lead,positive
844,loudey corp 256 433 nokia corp 10 cent 1946 nokia agre buy digit music distributor 60 million,neutral
845,raguti control finnish breweri olvi achiev 57 percent rise beer sale 226 million liter held 1075 percent market share,positive
846,finnair said cancel flight would caus daili loss x20ac 25 million us 3 million,negative
847,energi sector account approxim 33 steel industri 57 transport volum,neutral
848,5000 megawatt wind farm plan raah would built offshor front ruukki raah work,neutral
849,australian compani mirabela nickel award outokumpu technolog contract grind technolog nickel sulfid project bahia state brazil,positive
850,standard charter rb escap capit rais stress test,positive
851,oper profit half 08 09 glisten invest brand manag team,negative
852,expans final autumn 2009,neutral
853,finnish konecran tri acquir italian fantuzzi manufactur gantri crane reach stacker,neutral
854,1 pm central offic nordea bank 19 3ya ulitsa yamskogo polya build 1 telephon 495 7773477 ext 3932 3931 03022011 unimilk egm 0304 022011 xvi intern businesssummit food busi russia 2011 take place,neutral
855,adpnew feb 3 2010 finlandbas steel maker rautaruukki oyj hel rtrk ruukki said today slip largerthanexpect pretax loss eur 46 million usd 645 fourth quarter 2009,negative
856,compani expect net sale 2008 increas 510 2007,positive
857,72 evraz group share own lanebrook whose beneficiari one hand millhous hold compani asset billionair roman abramovich busi partner 50 evraz execut alexand abramov alexand frolov 50,neutral
858,margarin busi put good shape last two year make natur addit bung look leverag posit central northern european market raisio ceo matti rihko said statement,positive
859,loyal custom found bank àland index 80,positive
860,tesco break downward slide cut sale declin half,positive
861,eriikka sâderstrâm previous held sever posit financ control nokia network includ act busi group control corpor control posit nokia siemen network,neutral
862,price detail disclos,neutral
863,long aapl,positive
864,salonen ad data show produc pulp inventori north america declin,neutral
865,finnish consult satama interact oyj post net profit 14 mln euro 20 mln first nine month 2007 compar net loss 462000 euro 664000 period 2006,positive
866,consist seven interconnect unit mega imag logist center 347 metr length 12 metr height,neutral
867,tesco plc recoveri continu â£250m cash infus,positive
868,kesko 2000 store engag chain oper nordic baltic countri russia belaru,neutral
869,troubl brew legal gener group plc aviva plc,negative
870,helsinkibas componenta bought turkish list compani dokta octob 2006 89 million euro make largest finnish invest turkey date,neutral
871,ecb mainli target inflat,neutral
872,oper profit total eur 38 mn eur 45 mn correspond period 2005,negative
873,group said intend initi within year process buyout minor sharehold raguti aim becom sole owner compani,neutral
874,initi compani said maximum 15 peopl would made redund parent compani 15 subsidiari,neutral
875,contract incorpor converg charg rate solut voic data includ internet gpr sm mm wap,neutral
876,astrazeneca lung cancer drug tagrisso get fda approv,positive
877,custom includ compani energi process industri sector particular,neutral
878,europ howev remain import strong market us,neutral
879,morrison debenham surpris citi christma bounc back,positive
880,ongo project tekla structur use vashi exhibit centr develop insteel engin pvt ltdiivrcl infrastructur project ltd cidco,neutral
881,talentum expect net sale core busi increas 2008 compar 2007,positive
882,oper profit half 08 09 glisten invest brand manag team,neutral
883,total annual revenu come 160 mln zloti 569 mln42 3 mln euro,neutral
884,correspond increas share capit eur422 754 enter trade regist today,neutral
885,group ebit first half eur13 6 us 178 fall short eur22 5 post period 2009,neutral
886,relat citi damag comment mr ashley criticis citi investor analyst cri babi,negative
887,engin electr output 18321 kw make largest ga power gener set world,neutral
888,pretax profit total eur 49 mn compar eur 52 mn first quarter 2005,negative
889,recent found virent energi system inc 80 person catalyt biofuel compani presid ceo led compani multipl financ defin compani market strategi secur compani first custom,neutral
890,addu servic includ person care assist activ daili live skill nurs rehabilit therapi adult day care,neutral
891,tripadvisor jump rumor trip,positive
892,finnish civil aviat administr decid temporarili reopen finnish capit helsinki airport sinc 3 pm 11 pm monday local tear eye,neutral
893,report accord merg busi oper start januari 1 2011,neutral
894,earn per share ep first quarter 2007 amount eur0 07 eur0 04,positive
895,finnlin estim annual gener meet 2008 financi tough year due larg invest,negative
896,meanwhil minor sharehold expect teliasonera retain bid sell share,neutral
897,extern net sale print busi fell 437 partli due termin print contract ilkkayhtyma print hous iprint oy sector player hss media ab decemb 2009 fall print price,negative
898,oper profit eur 98 mn compar loss eur 127 mn correspond period 2009,positive
899,word street allergen look endo intern fail pfizer merger may20 35 call activ endp,positive
900,fbr capit reiter outperform rate brcm price target 4500 friday,positive
901,metalszinc surg 12 pct glencor cut output fuell metal ralli,positive
902,profit period fell eur 16 mn eur 75 mn januaryseptemb 2008,negative
903,worth invest tesco plc prudenti plc,positive
904,finland finnish pharmaceut compani orion corpor omx helsinki ornav said wednesday 7 januari conclud personnel negoti finland reduc number personnel 205,neutral
905,finnish retail stockmann approv board swedish rival lindex public tender offer aim expand compani presenc russia cee countri stockmann said monday,positive
906,releas compani said vocollect t2 custom north america take advantag voic direct wareh solut increas warehous effici product gain discount price,positive
907,nikla skogster employ abb group variou posit concern develop oper,neutral
908,oper profit exclud nonrecur item total eur 02 mn eur 08 mn correspond period 2006,negative
909,finnish metso paper award contract rebuild sabah forest industri sfi pulp mill sabah malaysia,positive
910,ruukki forecast 1520 annual sale growth posit pretax result 2010,positive
911,price gmo soy 5 7 lower nongmo,neutral
912,finland nokian tyre kazakhstan ordabasi corpor sign agreement build plant astana produc car tire ordabasi chairman dinmukhamet idrisov said press confer,positive
913,sale 127 billion last twelv month end octob 2010 9200 store 35 state dollar gener nation largest small box discount retail,neutral
914,get midnighttrad realtim report delay,neutral
915,danish compani flsmidth acknowledg violat patent held finnish metso,negative
916,share issu derog preemptiv right sharehold compris six million new share market price offer subscript sharehold holder capit note profession client,neutral
917,tielinja gener net sale 75 mln euro 96 mln 2005,neutral
918,karachi sept 14 ixono world leader develop integr solut handheld devic announc implement touch screen mobil user interfac solut intel atom processor z6xx base smartphon,neutral
919,nest oil work 20 research commun europ america africa asia australia develop introduc new raw materi,positive
920,new agreement expand longestablish cooper compani involv transfer certain engin document function larox etteplan,positive
921,,neutral
922,took endp long use vwap guid,positive
923,despit sale growth uk tesco caution recoveri bumpi,neutral
924,finland metal sector compani componenta lay temporarili staff pori mill christma 2008 till 6 januari 2009,neutral
925,middl east north africa tecnotre grown consider recent year,positive
926,oper profit net sale sixmonth period increas respect eur18 1 eur127 6 compar correspond period 2006,positive
927,insur axa par cs slid 535 eur 1415 citigroup ing slash target stock,neutral
928,order valu eur 69 mn consist design servic hardwar softwar licenc,neutral
929,scanfil also issu profit warn,negative
930,spokesman said food store center subject council local support could compris supermarket smaller store nich outlet firm follow consult council local commun regard appropri use occupi,neutral
931,bond valu eur150m matur 4 year,neutral
932,millercoor board name gavin hattersley interim ceo,neutral
933,airbu attempt evacu 873 peopl within 90 second,neutral
934,first quarter underli oper profit rose 41 mln eur 33 mln year earlier,positive
935,ep quarter eur0 00 compar eur0 01 third quarter 2008 repres group net sale third quarter eur15 3 28 compar eur14 9 third quarter 2008,positive
936,royal dutch shell profit rise dividend 4,positive
937,meanwhil electrowattekono philippin inc also award threeyear oper mainten om contract fr cement corpor,positive
938,agreement includ applic mainten support servic,neutral
939,nokia interest bring nokia market,neutral
940,affecto expect net sale whole 2010 increas 2009 level reach eur 103 million,positive
941,report profil 158 compani includ mani key nich player includ major nonwoven manufactur ahlstrom corpor asahi kasei corpor buckey technolog inc ei,neutral
942,layoff affect 240 peopl total 320 okmet employe finland,negative
943,acquisit elektro pavara complet kone market expans strategi baltic countri,positive
944,18 may 2010 finnish electron produc elcoteq se hel elqav said today sign extens cooper agreement industrialis manufactur distribut aftermarket servic mobil phone japan sharp tyo 6753,positive
945,morrison book second consecut quarter sale growth,positive
946,marimekko today 20 novemb sign licens agreement swedish chain wherebi marimekko licens popular pattern 1950 1960 1970 hm,positive
947,quick fio 2135 market tank scale long,negative
948,announc push freenet share 63 eur0 71 frankfurt trade eur10 65 investor gave hope unit internet ag drillisch would pursu takeov breakup freenet,negative
949,finnish telecom softwar develop tecnomen oyj said decemb 5 2006 33 mln 25 mln euro order suppli expans charg messag system mobil fix network brasil telecom,positive
950,companiesunilev sale lift ice cream soft economi,positive
951,ep drop eur0 2 eur0 3,negative
952,saltwaternurs ino test 10 next day tear eye take profit hedg put,negative
953,financi inform provid,neutral
954,easyjet attract passeng june still lag ryanair,positive
955,morn agenda shire deal np,positive
956,metso suppli equip two process line northland resourc new kaunisvaara iron ore project sweden exploit tapuli sahavaara iron ore deposit,positive
957,agreement biohit becom focu supplier pipettor dispos pipettor tip vwr custom throughout europ,positive
958,compani previou estim lower revenu yearago eur 939 million,neutral
959,earn per share ep drop eur 021 eur 031,negative
960,bid offer includ least 1000 share valu share must correspond least eur4 000,neutral
961,earn per share ep amount loss eur0 06,neutral
962,netapp downgrad macquari underperform 2200 pt ntap ntap via ratingsnetwork,negative
963,russia readi particip open tender lattelecom privat,neutral
964,technopoli st petersburg govern sign cooper memorandum octob 2005 set technopark neudorf product zone villag strelni st petersburg suburb,positive
965,owner particip busi oper compani continu poyri employ transact,neutral
966,goal secur compani profit competit,neutral
967,howev compani saw net profit third quarter eur 14 million eur 15 million correspond period 2009,negative
968,nest oil board propos 100 eur dividend fullyear 2007 compar 090 eur year ago,positive
969,baswar einvoic oy merg parent compani present fiscal period,neutral
970,fintech provid cafn cachet financi solut surg forward today post earn 1326 jkhi fisv momo,positive
971,kemira instal nordalu produc 3500 ton liquid solid aluminum wast per year,neutral
972,charter account british columbia alberta well certifi public account washington state,neutral
973,recommend nokian z g2 accord adac judgement latest summer tyre test german automobil associ adac,positive
974,group ¦ result tax loss eur 06 06 million,neutral
975,cash flow oper activ invest eur 08 12 million,neutral
976,vike line cancel servic,negative
977,exel headquart mantyharju finland,neutral
978,stora chief execut jouko karvinen describ russian tariff hike threat futur forest product industri finland,negative
979,barclay bank america citigroup blockchain sight,positive
980,googl inc complet acquisit icoa inc icoa goog,positive
981,tsla look goodid love see base action let rsi take breather,positive
982,finnish plumb heat system supplier uponor net sale continu oper decreas 94 2008 eur 9492 mn eur 10474 mn 2007,neutral
983,locat make mall conveni place shop consum three larg residenti area nearbi jaroszowka wysockiego zgodi,positive
984,finnish insur compani fennia kesko group end loyal custom cooper,negative
985,case compris first side case member provid first side vat segment second side case member provid second side vat segment least first side case member pivot rotat axi,neutral
986,finlandbas elcoteq se privat held provid electron manufactur servic commun compani said thursday sign longterm manufactur suppli deal commun equip compani andrew corp,positive
987,q1 2009 bank àland net interest incom weaken 10 eur 91 mn,neutral
988,rb pay 17 billion scrap uk treasuri dividend right,neutral
989,increas trust client yit seen apart sale acceler,positive
990,talvivaara mine compani plc talvivaara mine compani intern signific base metal produc primari focu nickel zinc use technolog known bioheapleach extract metal ore,neutral
991,oper profit 2009 lower outlook publish earlier,neutral
992,less ten peopl face pension agreement,neutral
993,compani consolid oper profit amount eur 1586 mn eur 414 mn yearonyear,positive
994,astrazeneca buy zs pharma 27 billion,positive
995,finnish wast manag clean group lassila tikanoja oyj lt net profit went 322 mln euro 477 mln 2007 353 mln euro 523 mln 2006,negative
996,oper margin aker yard cruis ferri divis went 83 64 first quarter 2007,neutral
997,helsinki thomson financi share cargotec fell sharpli earli afternoon trade cargo handl group post surpris drop apriljun profit overshadow larg number new order receiv three month,negative
998,program target structur cost reduct eur 30mn 2009,positive
999,tool specif design need busi user ict expert mind,neutral
1000,ahlstrom corpor seppo parvi cfo distribut main media ahlstrom brief ahlstrom global leader develop manufactur market high perform nonwoven specialti paper,neutral
1001,prior transact whose financi term disclos alma media own 40 kotikokki net,neutral
1002,ctrp bad long chart sma100 resist,positive
1003,merger upm finnishswedish stora enso like either,neutral
1004,hyg potenti continu uptrend 60154 chart,positive
1005,peroni grolsch put sale ab inbev plan acquisit sabmil,positive
1006,oper profit ninemonth period increas eur13 6 net sale increas eur394 7 compar correspond period 2005,positive
1007,beer differ slightli mainstream beer,neutral
1008,financi detail nt disclos,neutral
1009,separ yit corpor austrian firm e ag last week sign agreement sale e build system servic busi germani austria poland czech republ hungari romania eur 55 mln,positive
1010,finnish aluminium product manufactur nordic aluminium plc omx helsinki noa1v report monday 18 august oper profit eur7 9 net sale eur55 2 period januaryjun 2008,neutral
1011,temporari layoff affect entir workforc also implement,neutral
1012,southfield mich central corpor credit union distribut patronag dividend member waiv servic fee incur month juli novemb 2008 tune estim 1 million,positive
1013,sale rose 10 pct 566 mln eur back strong volum favour currenc effect,positive
1014,choos giant countdown red head rainbow trout giant shad rap perch color,neutral
1015,russian export duti activ harvest finland sale russia increas also,positive
1016,finnish electron manufactur servic em compani elcoteq se post net loss 664 mln euro 912 mln first half 2007 compar net profit 71 mln euro 98 mln period 2006,negative
1017,preliminari estim hotel oper brand novotel,neutral
1018,credit 20 novemb 2009 finnish glass technolog compani glaston oyj abp hel gla1v said today conclud eur74m revolv credit facil agreement core bank,positive
1019,end day scan bullish crossov bbva pd ntl ngl sbrci fgl mtnoy ttt,positive
1020,tvo twounit 1740 mw olkiluoto plant gener 142 twh oper ratio across reactor 935 compani describ high intern standard,neutral
1021,turun kaupunkin finland base compani award contract lemminkainen talotekniikka oy electr instal work,positive
1022,finnair total traffic decreas 87 term revenu passeng kilometr,neutral
1023,consolid pretax profit decreas 692 eur 410 mn eur 1331 mn 2007,negative
1024,gild 91 support ibb bib,positive
1025,wore black beanietyp cap black jacket,neutral
1026,finnish develop manufactur mobil phone charger salcomp plc omx helsinki sal1v wednesday 19 novemb lower fullyear net sale estim,neutral
1027,baswar corpor stock exchang releas august 31 2010 1625 baswar sign larg deal intern industri group baswar deliv invoic autom solut connect servic intern industri group,positive
1028,deliveri start second half 2007 startup mill schedul 2008,neutral
1029,cash flow oper recent quarter also reach eight year low,negative
1030,mn pretax profit eur 464 mn eur 358 mn third quarter 2006,positive
1031,tikkurila inspir color life,neutral
1032,isrg trade alltim high strong earn report 4 day short interest,positive
1033,octob upm report thirdquart net loss euro86 million 110 million compar net profit euro120 million 2007,neutral
1034,tesco share jump 6 christma sale beat expect,positive
1035,potenti acquir cencorp corpor relat entiti sav owe sav cencorp subsidiari finnish savcor group oy,neutral
1036,yit baltic sale first three quarter 2008 total 1062 million euro repres drop 29 percent year year,neutral
1037,net loss period 2009 euro18 6 million,neutral
1038,also cba issu benchmark 10 year fix rate deal euro,neutral
1039,aspo group structur busi oper develop persist without predefin schedul,neutral
1040,loss period total eur 156 mn compar profit eur 63 mn 2008,neutral
1041,shell buy bg group 697 billion takeov,positive
1042,bbri hear rumour major joint ventur announc,positive
1043,philip avail comment report,neutral
